x	rho	u	p	e	rho_Ex	u_Ex	p_Ex	e_Ex
0.0025	1	4.0368e-17	1	2.51	0	1	2.5
0.0075	1	9.46685e-17	1	2.51	0	1	2.5
0.0125	1	9.46764e-17	1	2.51	0	1	2.5
0.0175	1	9.46736e-17	1	2.51	0	1	2.5
0.0225	1	9.46588e-17	1	2.51	0	1	2.5
0.0275	1	9.46692e-17	1	2.51	0	1	2.5
0.0325	1	9.46759e-17	1	2.51	0	1	2.5
0.0375	1	6.9709e-18	1	2.51	0	1	2.5
0.0425	1	-1.39537e-17	1	2.51	0	1	2.5
0.0475	1	2.17794e-15	1	2.51	0	1	2.5
0.0525	1	7.90106e-15	1	2.51	0	1	2.5
0.0575	1	-7.77924e-15	1	2.51	0	1	2.5
0.0625	1	-8.19065e-14	1	2.51	0	1	2.5
0.0675	1	-1.88283e-13	1	2.51	0	1	2.5
0.0725	1	5.17821e-13	1	2.51	0	1	2.5
0.0775	1	3.21572e-12	1	2.51	0	1	2.5
0.0825	1	1.21533e-11	1	2.51	0	1	2.5
0.0875	1	4.20444e-11	1	2.51	0	1	2.5
0.0925	1	1.39745e-10	1	2.51	0	1	2.5
0.0975	1	4.49935e-10	1	2.51	0	1	2.5
0.1025	1	1.40605e-09	1	2.51	0	1	2.5
0.1075	1	4.26858e-09	1	2.51	0	1	2.5
0.1125	1	1.25981e-08	1	2.51	0	1	2.5
0.1175	1	3.61724e-08	1	2.51	0	1	2.5
0.1225	1	1.0112e-07	1	2.51	0	1	2.5
0.1275	1	2.75445e-07	1	2.51	0	1	2.5
0.1325	0.999999	7.31725e-07	0.999999	2.51	0	1	2.5
0.1375	0.999998	1.89752e-06	0.999998	2.51	0	1	2.5
0.1425	0.999996	4.80833e-06	0.999994	2.51	0	1	2.5
0.1475	0.99999	1.19197e-05	0.999986	2.499991	0	1	2.5
0.1525	0.999976	2.89429e-05	0.999966	2.499981	0	1	2.5
0.1575	0.999942	6.89353e-05	0.999918	2.499941	0	1	2.5
0.1625	0.999864	0.000161304	0.999809	2.499861	0	1	2.5
0.1675	0.999686	0.00037146	0.999561	2.499691	0	1	2.5
0.1725	0.999286	0.000844718	0.999001	2.499291	0	1	2.5
0.1775	0.998399	0.00189585	0.997759	2.49841	0	1	2.5
0.1825	0.996396	0.0042711	0.994957	2.496391	0	1	2.5
0.1875	0.992776	0.00857156	0.989901	2.492761	0	1	2.5
0.1925	0.987391	0.0149908	0.982395	2.487351	0	1	2.5
0.1975	0.980313	0.0234706	0.972553	2.480211	0	1	2.5
0.2025	0.971766	0.0337751	0.960708	2.471551	0	1	2.5
0.2075	0.962048	0.0455804	0.94729	2.461650.990727	0.0110133	0.987041	2.4907
0.2125	0.95146	0.0585529	0.932731	2.450790.976824	0.02768	0.967705	2.47666
0.2175	0.940262	0.0724009	0.917403	2.439220.963078	0.0443466	0.948694	2.46266
0.2225	0.928655	0.0868958	0.901591	2.427140.949487	0.0610133	0.930004	2.4487
0.2275	0.916783	0.101874	0.885498	2.414690.93605	0.07768	0.91163	2.43478
0.2325	0.904739	0.117228	0.869256	2.401950.922766	0.0943466	0.893569	2.4209
0.2375	0.892584	0.132892	0.852953	2.3890.909632	0.111013	0.875815	2.40706
0.2425	0.880374	0.148798	0.836665	2.375880.896649	0.12768	0.858364	2.39326
0.2475	0.868185	0.164857	0.820493	2.362670.883814	0.144347	0.841212	2.37949
0.2525	0.856062	0.181007	0.804499	2.349420.871127	0.161013	0.824355	2.36577
0.2575	0.844023	0.197229	0.788705	2.336150.858586	0.17768	0.807788	2.35209
0.2625	0.832078	0.213507	0.773123	2.322870.84619	0.194347	0.791508	2.33845
0.2675	0.820235	0.229832	0.757763	2.309590.833937	0.211013	0.775509	2.32484
0.2725	0.8085	0.246195	0.74263	2.296320.821827	0.22768	0.759788	2.31128
0.2775	0.796878	0.262589	0.727728	2.283060.809858	0.244347	0.744342	2.29775
0.2825	0.785372	0.279009	0.713061	2.269820.798029	0.261013	0.729165	2.28427
0.2875	0.773984	0.295452	0.698628	2.25660.786338	0.27768	0.714254	2.27083
0.2925	0.762716	0.311912	0.684432	2.24340.774785	0.294347	0.699606	2.25742
0.2975	0.75157	0.328387	0.67047	2.230230.763368	0.311013	0.685216	2.24406
0.3025	0.740546	0.344875	0.656744	2.217090.752086	0.32768	0.67108	2.23073
0.3075	0.729645	0.361373	0.64325	2.203980.740937	0.344347	0.657195	2.21744
0.3125	0.718868	0.377879	0.629989	2.190910.729922	0.361013	0.643556	2.2042
0.3175	0.708214	0.394391	0.616958	2.177860.719037	0.37768	0.630162	2.19099
0.3225	0.697684	0.410908	0.604155	2.164860.708283	0.394347	0.617007	2.17782
0.3275	0.687278	0.427428	0.591578	2.151890.697658	0.411013	0.604087	2.1647
0.3325	0.676996	0.443949	0.579225	2.138950.687161	0.42768	0.591401	2.15161
0.3375	0.666837	0.46047	0.567093	2.126060.676791	0.444347	0.578944	2.13856
