x	rho	u	p	e	rho_Ex	u_Ex	p_Ex	e_Ex
0.005	0.997819	0.0817288	996.946	2497.811	0	1000	2500
0.015	0.995246	0.178251	993.349	2495.241	0	1000	2500
0.025	0.989656	0.388591	985.549	2489.621	0	1000	2500
0.035	0.98165	0.691394	974.409	2481.561	0	1000	2500
0.045	0.971214	1.08898	959.947	24711	0	1000	2500
0.055	0.958825	1.56545	942.859	2458.370.9926	0.2777	989.656	2492.58
0.065	0.945022	2.1023	923.921	2444.180.974287	0.972145	964.188	2474.09
0.075	0.930264	2.68331	903.794	2428.860.956245	1.66659	939.284	2455.66
0.085	0.914898	3.29629	882.969	2412.750.938471	2.36103	914.933	2437.3
0.095	0.89915	3.93317	861.769	2396.070.920963	3.05548	891.126	2419.01
0.105	0.883169	4.58867	840.407	2378.950.903717	3.74992	867.852	2400.78
0.115	0.867121	5.25661	819.11	2361.580.88673	4.44437	845.1	2382.63
0.125	0.851168	5.93051	798.093	2344.110.87	5.13881	822.862	2364.55
0.135	0.835386	6.60723	777.455	2326.630.853523	5.83326	801.127	2346.53
0.145	0.819799	7.28573	757.224	2309.180.837297	6.5277	779.886	2328.58
0.155	0.804421	7.96529	737.416	2291.760.821318	7.22214	759.13	2310.71
0.165	0.789263	8.64539	718.037	2274.390.805585	7.91659	738.849	2292.9
0.175	0.774333	9.3256	699.095	2257.090.790093	8.61103	719.034	2275.16
0.185	0.759635	10.0055	680.589	2239.860.774841	9.30548	699.677	2257.49
0.195	0.745175	10.6848	662.523	2222.710.759825	9.99992	680.768	2239.88
0.205	0.730957	11.363	644.896	2205.660.745043	10.6944	662.298	2222.35
0.215	0.716988	12.0398	627.71	2188.70.730492	11.3888	644.26	2204.89
0.225	0.703273	12.7146	610.965	2171.860.716169	12.0833	626.645	2187.49
0.235	0.689819	13.3868	594.667	2155.160.702071	12.7777	609.444	2170.16
0.245	0.676638	14.0557	578.822	2138.590.688197	13.4721	592.649	2152.91
0.255	0.663747	14.7199	563.445	2122.210.674542	14.1666	576.253	2135.72
0.265	0.651174	15.3779	548.561	2106.050.661106	14.861	560.247	2118.6
0.275	0.638963	16.0266	534.216	2090.170.647884	15.5555	544.623	2101.55
0.285	0.627182	16.662	520.48	2074.680.634875	16.2499	529.375	2084.56
0.295	0.615936	17.2775	507.464	2059.730.622075	16.9444	514.494	2067.65
0.305	0.60537	17.8641	495.32	2045.530.609483	17.6388	499.973	2050.81
0.315	0.595669	18.4099	484.246	2032.360.597096	18.3333	485.804	2034.03
0.325	0.587047	18.9011	474.462	2020.550.58491	19.0277	471.981	2017.32
0.335	0.579709	19.3237	466.182	2010.410.575062	19.5975	460.894	2003.67
0.345	0.573811	19.6665	459.555	2002.210.575062	19.5975	460.894	2003.67
0.355	0.569402	19.9246	454.62	1996.040.575062	19.5975	460.894	2003.67
0.365	0.566407	20.1008	451.278	1991.840.575062	19.5975	460.894	2003.67
0.375	0.564621	20.2061	449.289	1989.340.575062	19.5975	460.894	2003.67
0.385	0.563748	20.2575	448.321	1988.130.575062	19.5975	460.894	2003.67
0.395	0.563466	20.2739	448.012	1987.750.575062	19.5975	460.894	2003.67
0.405	0.56347	20.2735	448.02	1987.770.575062	19.5975	460.894	2003.67
0.415	0.563867	20.2497	448.466	1988.350.575062	19.5975	460.894	2003.67
0.425	0.564909	20.1878	449.632	1989.850.575062	19.5975	460.894	2003.67
0.435	0.566201	20.1112	451.08	1991.690.575062	19.5975	460.894	2003.67
0.445	0.567291	20.0465	452.303	1993.260.575062	19.5975	460.894	2003.67
0.455	0.568154	19.9954	453.273	1994.50.575062	19.5975	460.894	2003.67
0.465	0.568857	19.9536	454.067	1995.520.575062	19.5975	460.894	2003.67
0.475	0.569447	19.9185	454.734	1996.390.575062	19.5975	460.894	2003.67
0.485	0.569953	19.8882	455.311	1997.140.575062	19.5975	460.894	2003.67
0.495	0.570397	19.8616	455.819	1997.810.575062	19.5975	460.894	2003.67
0.505	0.570782	19.8383	456.263	1998.410.575062	19.5975	460.894	2003.67
0.515	0.571109	19.8183	456.644	1998.940.575062	19.5975	460.894	2003.67
0.525	0.57138	19.8015	456.964	1999.390.575062	19.5975	460.894	2003.67
0.535	0.571604	19.7874	457.233	1999.780.575062	19.5975	460.894	2003.67
0.545	0.571793	19.7754	457.463	2000.130.575062	19.5975	460.894	2003.67
0.555	0.571963	19.764	457.681	2000.480.575062	19.5975	460.894	2003.67
0.565	0.572112	19.7527	457.897	2000.910.575062	19.5975	460.894	2003.67
0.575	0.572216	19.7418	458.105	2001.450.575062	19.5975	460.894	2003.67
0.585	0.57226	19.7337	458.26	2001.970.575062	19.5975	460.894	2003.67
0.595	0.572267	19.7264	458.399	2002.560.575062	19.5975	460.894	2003.67
0.605	0.57226	19.7191	458.538	2003.190.575062	19.5975	460.894	2003.67
0.615	0.572254	19.7123	458.669	2003.780.575062	19.5975	460.894	2003.67
0.625	0.572241	19.7056	458.795	2004.380.575062	19.5975	460.894	2003.67
0.635	0.572183	19.6992	458.917	2005.120.575062	19.5975	460.894	2003.67
0.645	0.572041	19.6932	459.032	2006.110.575062	19.5975	460.894	2003.67
0.655	0.571684	19.6885	459.121	2007.760.575062	19.5975	460.894	2003.67
0.665	0.570949	19.6839	459.208	2010.720.575062	19.5975	460.894	2003.67
0.675	0.569923	19.68	459.282	2014.660.575062	19.5975	460.894	2003.67
0.685	0.568915	19.6765	459.348	2018.530.575062	19.5975	460.894	2003.67
0.695	0.568193	19.6731	459.411	2021.370.575062	19.5975	460.894	2003.67
0.705	0.567781	19.6699	459.471	2023.10.575062	19.5975	460.894	2003.67
0.715	0.567619	19.6671	459.523	2023.910.575062	19.5975	460.894	2003.67
0.725	0.567603	19.6642	459.577	2024.20.575062	19.5975	460.894	2003.67
0.735	0.567632	19.6616	459.625	2024.310.575062	19.5975	460.894	2003.67
0.745	5.39806	19.6585	459.509	212.8125.99924	19.5975	460.894	192.063
0.755	5.39626	19.6518	459.144	212.7145.99924	19.5975	460.894	192.063
0.765	5.40064	19.6032	456.594	211.3615.99924	19.5975	460.894	192.063
0.775	5.40507	19.5142	451.791	208.9665.99924	19.5975	460.894	192.063
0.785	5.37596	19.356	442.747	205.8921	0	0.01	0.025
0.795	5.12277	18.7453	407.54	198.8871	0	0.01	0.025
0.805	3.92546	16.1666	280.315	178.5241	0	0.01	0.025
0.815	2.18423	9.44768	98.5895	112.8421	0	0.01	0.025
0.825	1.23613	1.49754	3.29271	6.659321	0	0.01	0.025
0.835	1.01506	-0.365304	-3.83792	-9.452481	0	0.01	0.025
0.845	0.995267	-0.127634	-0.722703	-1.815351	0	0.01	0.025
0.855	0.998082	-0.0169647	-0.0469398	-0.1175751	0	0.01	0.025
0.865	0.999996	0.00494936	0.0390814	0.09770391	0	0.01	0.025
0.875	1.00006	0.00108618	0.014564	0.03640771	0	0.01	0.025
0.885	1.00001	-6.88535e-05	0.00941851	0.0235461	0	0.01	0.025
0.895	1	-3.60776e-05	0.00983561	0.0245891	0	0.01	0.025
0.905	1	-7.3522e-06	0.00997451	0.02493631	0	0.01	0.025
0.915	1	6.82189e-07	0.0100037	0.02500921	0	0.01	0.025
0.925	1	2.72661e-07	0.010001	0.02500251	0	0.01	0.025
0.935	1	4.4997e-08	0.0100001	0.02500031	0	0.01	0.025
0.945	1	-4.7301e-09	0.00999998	0.02499991	0	0.01	0.025
0.955	1	-1.67668e-09	0.00999999	0.0251	0	0.01	0.025
0.965	1	-1.99839e-10	0.01	0.0251	0	0.01	0.025
0.975	1	5.23397e-11	0.01	0.0251	0	0.01	0.025
0.985	1	1.08359e-11	0.01	0.0251	0	0.01	0.025
0.995	1	4.3064e-12	0.01	0.0251	0	0.01	0.025
