x	rho	u	p	e	rho_Ex	u_Ex	p_Ex	e_Ex
0.0025	1	0	1	2.51	0	1	2.5
0.0075	1	0	1	2.51	0	1	2.5
0.0125	1	0	1	2.51	0	1	2.5
0.0175	1	0	1	2.51	0	1	2.5
0.0225	1	0	1	2.51	0	1	2.5
0.0275	1	0	1	2.51	0	1	2.5
0.0325	1	0	1	2.51	0	1	2.5
0.0375	1	-4.77748e-17	1	2.51	0	1	2.5
0.0425	1	-1.41418e-16	1	2.51	0	1	2.5
0.0475	1	-9.45946e-17	1	2.51	0	1	2.5
0.0525	1	1.70941e-15	1	2.51	0	1	2.5
0.0575	1	5.34803e-15	1	2.51	0	1	2.5
0.0625	1	-7.39423e-17	1	2.51	0	1	2.5
0.0675	1	-7.74913e-14	1	2.51	0	1	2.5
0.0725	1	-2.16221e-13	1	2.51	0	1	2.5
0.0775	1	3.09911e-13	1	2.51	0	1	2.5
0.0825	1	2.54512e-12	1	2.51	0	1	2.5
0.0875	1	9.8759e-12	1	2.51	0	1	2.5
0.0925	1	3.44061e-11	1	2.51	0	1	2.5
0.0975	1	1.1496e-10	1	2.51	0	1	2.5
0.1025	1	3.71968e-10	1	2.51	0	1	2.5
0.1075	1	1.16798e-09	1	2.51	0	1	2.5
0.1125	1	3.56247e-09	1	2.51	0	1	2.5
0.1175	1	1.05624e-08	1	2.51	0	1	2.5
0.1225	1	3.04643e-08	1	2.51	0	1	2.5
0.1275	1	8.55385e-08	1	2.51	0	1	2.5
0.1325	1	2.34003e-07	1	2.51	0	1	2.5
0.1375	0.999999	6.2423e-07	0.999999	2.51	0	1	2.5
0.1425	0.999999	1.62528e-06	0.999998	2.51	0	1	2.5
0.1475	0.999997	4.1344e-06	0.999995	2.51	0	1	2.5
0.1525	0.999991	1.02867e-05	0.999988	2.499991	0	1	2.5
0.1575	0.999979	2.50647e-05	0.99997	2.499981	0	1	2.5
0.1625	0.999949	5.98929e-05	0.999929	2.499951	0	1	2.5
0.1675	0.999881	0.000140564	0.999834	2.499881	0	1	2.5
0.1725	0.999726	0.000324564	0.999616	2.499731	0	1	2.5
0.1775	0.999375	0.000739755	0.999125	2.499371	0	1	2.5
0.1825	0.998601	0.00165747	0.998041	2.49861	0	1	2.5
0.1875	0.996814	0.00377562	0.995541	2.496811	0	1	2.5
0.1925	0.993462	0.0077563	0.990858	2.493451	0	1	2.5
0.1975	0.988344	0.0138537	0.983721	2.488311	0	1	2.5
0.2025	0.981497	0.0220485	0.974197	2.481411	0	1	2.5
0.2075	0.973129	0.0321261	0.962595	2.472940.990727	0.0110133	0.987041	2.4907
0.2125	0.963534	0.0437687	0.949338	2.463170.976824	0.02768	0.967705	2.47666
0.2175	0.953017	0.056638	0.934868	2.452390.963078	0.0443466	0.948694	2.46266
0.2225	0.941847	0.0704327	0.919568	2.440860.949487	0.0610133	0.930004	2.4487
0.2275	0.930236	0.0849127	0.90374	2.428790.93605	0.07768	0.91163	2.43478
0.2325	0.918336	0.0999048	0.887599	2.416320.922766	0.0943466	0.893569	2.4209
