x	rho	u	p	e	rho_Ex	u_Ex	p_Ex	e_Ex
0.0005	1	3.56376e-15	1000	25001	0	1000	2500
0.0015	1	3.56375e-15	1000	25001	0	1000	2500
0.0025	1	3.56375e-15	1000	25001	0	1000	2500
0.0035	1	4.33278e-15	1000	25001	0	1000	2500
0.0045	1	1.73067e-14	1000	25001	0	1000	2500
0.0055	1	5.52779e-14	1000	25001	0	1000	2500
0.0065	1	1.18891e-13	1000	25001	0	1000	2500
0.0075	1	1.91488e-13	1000	25001	0	1000	2500
0.0085	1	2.50842e-13	1000	25001	0	1000	2500
0.0095	1	1.46647e-13	1000	25001	0	1000	2500
0.0105	1	-4.07974e-13	1000	25001	0	1000	2500
0.0115	1	-1.67973e-12	1000	25001	0	1000	2500
0.0125	1	-3.85527e-12	1000	25001	0	1000	2500
0.0135	1	-6.67966e-12	1000	25001	0	1000	2500
0.0145	1	-9.24139e-12	1000	25001	0	1000	2500
0.0155	1	-1.06329e-11	1000	25001	0	1000	2500
0.0165	1	-1.33518e-12	1000	25001	0	1000	2500
0.0175	1	3.25648e-11	1000	25001	0	1000	2500
0.0185	1	1.07321e-10	1000	25001	0	1000	2500
0.0195	1	2.66556e-10	1000	25001	0	1000	2500
0.0205	1	6.0997e-10	1000	25001	0	1000	2500
0.0215	1	1.35076e-09	1000	25001	0	1000	2500
0.0225	1	2.94975e-09	1000	25001	0	1000	2500
0.0235	1	6.40072e-09	1000	25001	0	1000	2500
0.0245	1	1.38467e-08	1000	25001	0	1000	2500
0.0255	1	2.99079e-08	1000	25001	0	1000	2500
0.0265	1	6.45414e-08	1000	25001	0	1000	2500
0.0275	1	1.39198e-07	1000	25001	0	1000	2500
0.0285	1	3.00075e-07	1000	25001	0	1000	2500
0.0295	1	6.46653e-07	1000	25001	0	1000	2500
0.0305	1	1.39308e-06	1000	25001	0	1000	2500
0.0315	1	3.00029e-06	1000	25001	0	1000	2500
0.0325	1	6.46013e-06	1000	25001	0	1000	2500
0.0335	1	1.39067e-05	999.999	25001	0	1000	2500
0.0345	0.999999	2.99307e-05	999.999	25001	0	1000	2500
0.0355	0.999998	6.44066e-05	999.998	25001	0	1000	2500
0.0365	0.999996	0.00013857	999.995	25001	0	1000	2500
0.0375	0.999992	0.000298092	999.989	2499.991	0	1000	2500
0.0385	0.999983	0.000641089	999.976	2499.981	0	1000	2500
0.0395	0.999963	0.00137919	999.948	2499.961	0	1000	2500
0.0405	0.99992	0.00297998	999.889	2499.921	0	1000	2500
0.0415	0.999828	0.00643884	999.759	2499.831	0	1000	2500
0.0425	0.999658	0.0128128	999.521	2499.661	0	1000	2500
0.0435	0.999388	0.022909	999.143	2499.391	0	1000	2500
0.0445	0.998999	0.0374573	998.599	24991	0	1000	2500
0.0455	0.998477	0.0570111	997.869	2498.481	0	1000	2500
0.0465	0.997813	0.0818934	996.94	2497.811	0	1000	2500
0.0475	0.997005	0.112175	995.81	24971	0	1000	2500
0.0485	0.996059	0.147694	994.487	2496.051	0	1000	2500
0.0495	0.994983	0.1881	992.983	2494.981	0	1000	2500
0.0505	0.99379	0.232915	991.317	2493.781	0	1000	2500
0.0515	0.992496	0.281594	989.511	2492.480.999074	0.0346449	998.704	2499.07
0.0525	0.991116	0.333578	987.585	2491.090.997221	0.104089	996.112	2497.22
0.0535	0.989664	0.388334	985.56	2489.630.995371	0.173534	993.525	2495.36
0.0545	0.988153	0.445381	983.454	2488.110.993523	0.242978	990.944	2493.51
0.0555	0.986594	0.5043	981.282	2486.540.991678	0.312423	988.369	2491.66
0.0565	0.984997	0.564739	979.06	2484.930.989836	0.381867	985.799	2489.8
0.0575	0.98337	0.62641	976.796	2483.290.987996	0.451312	983.235	2487.95
0.0585	0.981718	0.68908	974.5	2481.620.986159	0.520756	980.677	2486.1
0.0595	0.980047	0.752565	972.179	2479.930.984325	0.5902	978.125	2484.25
0.0605	0.978361	0.816717	969.838	2478.220.982494	0.659645	975.578	2482.4
0.0615	0.976663	0.881423	967.482	2476.50.980666	0.729089	973.037	2480.55
0.0625	0.974955	0.94659	965.115	2474.770.97884	0.798534	970.501	2478.7
0.0635	0.97324	1.01215	962.738	2473.020.977017	0.867978	967.972	2476.86
0.0645	0.971518	1.07804	960.354	2471.270.975196	0.937423	965.448	2475.01
0.0655	0.969791	1.14422	957.965	2469.510.973378	1.00687	962.929	2473.16
0.0665	0.96806	1.21064	955.572	2467.750.971563	1.07631	960.417	2471.32
0.0675	0.966325	1.27729	953.176	2465.980.969751	1.14576	957.909	2469.47
0.0685	0.964589	1.34412	950.778	2464.210.967942	1.2152	955.408	2467.63
0.0695	0.96285	1.41113	948.38	2462.430.966135	1.28464	952.912	2465.78
0.0705	0.96111	1.47829	945.981	2460.650.964331	1.35409	950.422	2463.94
0.0715	0.959369	1.54559	943.583	2458.860.962529	1.42353	947.937	2462.1
0.0725	0.957627	1.61302	941.185	2457.080.96073	1.49298	945.458	2460.26
0.0735	0.955884	1.68057	938.788	2455.290.958934	1.56242	942.984	2458.42
0.0745	0.954141	1.74824	936.392	2453.50.957141	1.63187	940.516	2456.58
0.0755	0.952398	1.81601	933.998	2451.70.95535	1.70131	938.053	2454.74
0.0765	0.950655	1.88387	931.606	2449.910.953562	1.77076	935.596	2452.9
0.0775	0.948912	1.95181	929.216	2448.110.951777	1.8402	933.145	2451.06
0.0785	0.94717	2.01982	926.829	2446.310.949994	1.90964	930.699	2449.22
0.0795	0.945429	2.08791	924.445	2444.510.948214	1.97909	928.258	2447.39
0.0805	0.943689	2.15606	922.064	2442.710.946437	2.04853	925.823	2445.55
0.0815	0.94195	2.22427	919.686	2440.910.944662	2.11798	923.394	2443.72
0.0825	0.940212	2.29254	917.311	2439.110.94289	2.18742	920.97	2441.88
0.0835	0.938475	2.36086	914.939	2437.30.941121	2.25687	918.551	2440.05
0.0845	0.93674	2.42923	912.571	2435.50.939354	2.32631	916.138	2438.21
0.0855	0.935005	2.49766	910.207	2433.690.93759	2.39576	913.73	2436.38
0.0865	0.933272	2.56613	907.846	2431.890.935828	2.4652	911.328	2434.55
0.0875	0.931541	2.63464	905.489	2430.080.93407	2.53464	908.931	2432.72
0.0885	0.929811	2.7032	903.135	2428.280.932314	2.60409	906.54	2430.89
0.0895	0.928083	2.77179	900.786	2426.470.93056	2.67353	904.153	2429.06
0.0905	0.926356	2.84042	898.441	2424.660.928809	2.74298	901.773	2427.23
0.0915	0.924631	2.90909	896.1	2422.860.927061	2.81242	899.397	2425.4
0.0925	0.922908	2.97779	893.762	2421.050.925315	2.88187	897.028	2423.57
0.0935	0.921187	3.04652	891.429	2419.240.923573	2.95131	894.663	2421.75
0.0945	0.919467	3.11528	889.101	2417.430.921832	3.02076	892.304	2419.92
0.0955	0.917749	3.18406	886.776	2415.630.920095	3.0902	889.95	2418.09
0.0965	0.916034	3.25287	884.456	2413.820.91836	3.15964	887.601	2416.27
0.0975	0.91432	3.32171	882.14	2412.010.916627	3.22909	885.258	2414.44
0.0985	0.912608	3.39057	879.829	2410.210.914897	3.29853	882.92	2412.62
0.0995	0.910898	3.45945	877.522	2408.40.91317	3.36798	880.587	2410.8
0.1005	0.90919	3.52836	875.22	2406.590.911446	3.43742	878.26	2408.98
0.1015	0.907485	3.59728	872.922	2404.780.909724	3.50687	875.938	2407.15
0.1025	0.905781	3.66622	870.629	2402.980.908004	3.57631	873.621	2405.33
0.1035	0.90408	3.73518	868.34	2401.170.906287	3.64576	871.309	2403.51
0.1045	0.90238	3.80416	866.056	2399.360.904573	3.7152	869.003	2401.69
0.1055	0.900683	3.87315	863.776	2397.560.902862	3.78464	866.702	2399.87
0.1065	0.898988	3.94216	861.501	2395.750.901153	3.85409	864.406	2398.06
0.1075	0.897295	4.01118	859.231	2393.950.899446	3.92353	862.115	2396.24
0.1085	0.895605	4.08022	856.965	2392.140.897742	3.99298	859.83	2394.42
0.1095	0.893917	4.14927	854.705	2390.340.896041	4.06242	857.549	2392.61
0.1105	0.89223	4.21833	852.448	2388.530.894342	4.13187	855.274	2390.79
0.1115	0.890547	4.2874	850.197	2386.730.892646	4.20131	853.004	2388.98
0.1125	0.888865	4.35649	847.95	2384.920.890953	4.27076	850.74	2387.16
0.1135	0.887186	4.42558	845.708	2383.120.889262	4.3402	848.48	2385.35
0.1145	0.885509	4.49469	843.471	2381.320.887574	4.40964	846.226	2383.54
0.1155	0.883834	4.56381	841.239	2379.520.885888	4.47909	843.976	2381.72
0.1165	0.882162	4.63293	839.011	2377.710.884205	4.54853	841.732	2379.91
0.1175	0.880492	4.70206	836.788	2375.910.882524	4.61798	839.493	2378.1
0.1185	0.878824	4.77121	834.57	2374.110.880846	4.68742	837.259	2376.29
0.1195	0.877158	4.84035	832.357	2372.310.87917	4.75687	835.03	2374.48
0.1205	0.875495	4.90951	830.148	2370.510.877497	4.82631	832.806	2372.68
0.1215	0.873835	4.97868	827.945	2368.710.875827	4.89576	830.588	2370.87
0.1225	0.872176	5.04785	825.746	2366.910.874159	4.9652	828.374	2369.06
0.1235	0.87052	5.11703	823.552	2365.110.872493	5.03464	826.165	2367.25
0.1245	0.868867	5.18621	821.362	2363.310.870831	5.10409	823.962	2365.45
0.1255	0.867215	5.2554	819.178	2361.520.86917	5.17353	821.763	2363.64
0.1265	0.865567	5.3246	816.998	2359.720.867512	5.24298	819.57	2361.84
0.1275	0.86392	5.3938	814.823	2357.920.865857	5.31242	817.381	2360.04
0.1285	0.862276	5.463	812.653	2356.130.864204	5.38187	815.198	2358.23
0.1295	0.860634	5.53221	810.488	2354.330.862554	5.45131	813.02	2356.43
0.1305	0.858995	5.60143	808.327	2352.540.860907	5.52076	810.846	2354.63
0.1315	0.857358	5.67065	806.171	2350.740.859261	5.5902	808.678	2352.83
0.1325	0.855723	5.73988	804.021	2348.950.857619	5.65964	806.514	2351.03
0.1335	0.854091	5.8091	801.874	2347.160.855979	5.72909	804.356	2349.23
0.1345	0.852462	5.87834	799.733	2345.360.854341	5.79853	802.202	2347.43
0.1355	0.850834	5.94757	797.597	2343.570.852706	5.86798	800.053	2345.63
0.1365	0.849209	6.01681	795.465	2341.780.851073	5.93742	797.91	2343.83
0.1375	0.847587	6.08606	793.338	2339.990.849443	6.00687	795.771	2342.04
0.1385	0.845967	6.15531	791.216	2338.20.847816	6.07631	793.637	2340.24
0.1395	0.844349	6.22456	789.098	2336.410.846191	6.14576	791.508	2338.45
0.1405	0.842733	6.29381	786.985	2334.620.844568	6.2152	789.384	2336.65
0.1415	0.841121	6.36306	784.878	2332.830.842948	6.28464	787.265	2334.86
0.1425	0.83951	6.43232	782.774	2331.050.84133	6.35409	785.151	2333.06
0.1435	0.837902	6.50158	780.676	2329.260.839715	6.42353	783.041	2331.27
0.1445	0.836296	6.57085	778.582	2327.470.838102	6.49298	780.937	2329.48
0.1455	0.834693	6.64011	776.493	2325.690.836492	6.56242	778.837	2327.69
0.1465	0.833092	6.70938	774.409	2323.90.834884	6.63187	776.742	2325.9
0.1475	0.831494	6.77865	772.33	2322.120.833279	6.70131	774.652	2324.11
0.1485	0.829898	6.84793	770.255	2320.330.831676	6.77076	772.567	2322.32
0.1495	0.828304	6.9172	768.185	2318.550.830076	6.8402	770.487	2320.53
0.1505	0.826713	6.98648	766.12	2316.770.828478	6.90964	768.411	2318.74
0.1515	0.825124	7.05576	764.059	2314.980.826883	6.97909	766.34	2316.96
0.1525	0.823537	7.12504	762.004	2313.20.82529	7.04853	764.274	2315.17
0.1535	0.821953	7.19432	759.952	2311.420.8237	7.11798	762.213	2313.38
0.1545	0.820372	7.2636	757.906	2309.640.822112	7.18742	760.157	2311.6
0.1555	0.818792	7.33288	755.864	2307.860.820526	7.25687	758.105	2309.81
0.1565	0.817216	7.40217	753.827	2306.080.818943	7.32631	756.058	2308.03
0.1575	0.815641	7.47146	751.795	2304.310.817362	7.39576	754.016	2306.25
0.1585	0.814069	7.54074	749.767	2302.530.815784	7.4652	751.978	2304.46
0.1595	0.8125	7.61003	747.744	2300.750.814208	7.53464	749.945	2302.68
0.1605	0.810932	7.67932	745.725	2298.970.812635	7.60409	747.917	2300.9
0.1615	0.809367	7.74862	743.711	2297.20.811064	7.67353	745.894	2299.12
0.1625	0.807805	7.81791	741.702	2295.420.809495	7.74298	743.875	2297.34
0.1635	0.806245	7.8872	739.698	2293.650.807929	7.81242	741.861	2295.56
0.1645	0.804687	7.9565	737.698	2291.880.806366	7.88187	739.852	2293.79
0.1655	0.803132	8.02579	735.702	2290.10.804805	7.95131	737.847	2292.01
0.1665	0.801579	8.09509	733.712	2288.330.803246	8.02076	735.847	2290.23
0.1675	0.800029	8.16438	731.726	2286.560.801689	8.0902	733.852	2288.46
0.1685	0.798481	8.23368	729.744	2284.790.800135	8.15964	731.861	2286.68
0.1695	0.796935	8.30298	727.767	2283.020.798584	8.22909	729.875	2284.91
0.1705	0.795392	8.37227	725.795	2281.250.797035	8.29853	727.894	2283.13
0.1715	0.793851	8.44157	723.827	2279.480.795488	8.36798	725.917	2281.36
0.1725	0.792312	8.51087	721.864	2277.710.793944	8.43742	723.945	2279.59
0.1735	0.790776	8.58017	719.905	2275.950.792402	8.50687	721.977	2277.81
0.1745	0.789242	8.64947	717.951	2274.180.790862	8.57631	720.014	2276.04
0.1755	0.787711	8.71877	716.001	2272.410.789325	8.64576	718.056	2274.27
0.1765	0.786182	8.78807	714.056	2270.650.78779	8.7152	716.102	2272.5
0.1775	0.784655	8.85737	712.116	2268.880.786258	8.78464	714.153	2270.73
0.1785	0.783131	8.92667	710.18	2267.120.784728	8.85409	712.208	2268.96
0.1795	0.781609	8.99596	708.248	2265.350.7832	8.92353	710.267	2267.2
0.1805	0.780089	9.06526	706.321	2263.590.781675	8.99298	708.332	2265.43
0.1815	0.778572	9.13456	704.399	2261.830.780152	9.06242	706.401	2263.66
0.1825	0.777057	9.20386	702.481	2260.070.778632	9.13187	704.474	2261.9
0.1835	0.775545	9.27316	700.567	2258.310.777114	9.20131	702.552	2260.13
0.1845	0.774035	9.34246	698.658	2256.550.775598	9.27076	700.634	2258.37
0.1855	0.772527	9.41176	696.754	2254.790.774085	9.3402	698.721	2256.6
0.1865	0.771021	9.48106	694.854	2253.030.772574	9.40964	696.812	2254.84
0.1875	0.769518	9.55036	692.958	2251.270.771065	9.47909	694.908	2253.08
0.1885	0.768018	9.61966	691.067	2249.510.769559	9.54853	693.008	2251.32
0.1895	0.766519	9.68895	689.18	2247.760.768055	9.61798	691.113	2249.56
0.1905	0.765023	9.75825	687.298	22460.766553	9.68742	689.222	2247.8
0.1915	0.76353	9.82755	685.42	2244.250.765054	9.75687	687.336	2246.04
0.1925	0.762038	9.89684	683.546	2242.490.763557	9.82631	685.454	2244.28
0.1935	0.760549	9.96614	681.677	2240.740.762062	9.89576	683.576	2242.52
0.1945	0.759063	10.0354	679.812	2238.990.76057	9.9652	681.703	2240.76
0.1955	0.757578	10.1047	677.952	2237.230.75908	10.0346	679.834	2239.01
0.1965	0.756096	10.174	676.096	2235.480.757593	10.1041	677.97	2237.25
0.1975	0.754617	10.2433	674.245	2233.730.756108	10.1735	676.11	2235.49
0.1985	0.75314	10.3126	672.397	2231.980.754625	10.243	674.254	2233.74
0.1995	0.751665	10.3819	670.555	2230.230.753144	10.3124	672.403	2231.99
0.2005	0.750192	10.4512	668.716	2228.480.751666	10.3819	670.556	2230.23
0.2015	0.748722	10.5205	666.882	2226.740.75019	10.4513	668.713	2228.48
0.2025	0.747254	10.5898	665.052	2224.990.748717	10.5208	666.875	2226.73
0.2035	0.745788	10.6591	663.227	2223.240.747245	10.5902	665.041	2224.98
0.2045	0.744325	10.7283	661.406	2221.50.745776	10.6596	663.212	2223.23
