x	rho	u	p	e	rho_Ex	u_Ex	p_Ex	e_Ex
0.005	1	-2	0.4	11	-2	0.4	1
0.015	1	-2	0.4	11	-2	0.4	1
0.025	1	-2	0.4	11	-2	0.4	1
0.035	0.999899	-1.99992	0.399944	0.999961	-2	0.4	1
0.045	0.999029	-1.99927	0.399456	0.9996111	-2	0.4	1
0.055	0.995212	-1.99641	0.397319	0.9980771	-2	0.4	1
0.065	0.983868	-1.98779	0.390965	0.993441	-2	0.4	1
0.075	0.956956	-1.96715	0.376069	0.9824621	-2	0.4	1
0.085	0.915005	-1.93416	0.353244	0.9651421	-2	0.4	1
0.095	0.864485	-1.8928	0.326316	0.9436720.947325	-1.95972	0.370816	0.978587
0.105	0.810029	-1.846	0.297986	0.9196760.878333	-1.90417	0.333567	0.949432
0.115	0.754563	-1.79566	0.269897	0.8942160.813421	-1.84861	0.299572	0.920717
0.125	0.700768	-1.74388	0.243412	0.8683760.752405	-1.79306	0.268591	0.892443
0.135	0.649382	-1.69135	0.218851	0.8425340.695106	-1.7375	0.240398	0.86461
0.145	0.600575	-1.63826	0.196221	0.8168040.641353	-1.68195	0.214781	0.837219
0.155	0.554391	-1.58472	0.175465	0.7912490.590978	-1.62639	0.19154	0.810268
0.165	0.510809	-1.53082	0.156495	0.765920.543819	-1.57083	0.170489	0.783758
0.175	0.469762	-1.4766	0.139214	0.7408760.49972	-1.51528	0.151453	0.757688
0.185	0.431158	-1.4221	0.123518	0.7161980.458529	-1.45972	0.134268	0.73206
0.195	0.394891	-1.36735	0.109304	0.6919890.4201	-1.40417	0.118783	0.706873
0.205	0.360849	-1.31238	0.0964721	0.6683690.384293	-1.34861	0.104854	0.682126
0.215	0.328928	-1.25722	0.0849248	0.6454680.350969	-1.29306	0.09235	0.657821
0.225	0.29903	-1.20189	0.0745673	0.6234090.319999	-1.2375	0.0811461	0.633956
0.235	0.271074	-1.1464	0.0653075	0.6023040.291254	-1.18195	0.0711281	0.610533
0.245	0.244988	-1.09076	0.0570561	0.5822350.264613	-1.12639	0.0621894	0.58755
0.255	0.220712	-1.03495	0.0497268	0.5632540.239959	-1.07083	0.0542315	0.565008
0.265	0.198194	-0.978942	0.0432365	0.5453820.217177	-1.01528	0.0471628	0.542907
0.275	0.177385	-0.922697	0.0375064	0.5286030.196159	-0.959724	0.040899	0.521247
0.285	0.158235	-0.866168	0.0324622	0.5128770.176802	-0.904168	0.0353623	0.500028
0.295	0.140694	-0.809303	0.0280342	0.4981420.159003	-0.848613	0.0304809	0.47925
0.305	0.124701	-0.75206	0.0241583	0.4843240.142668	-0.793057	0.0261888	0.458913
0.315	0.110192	-0.694416	0.0207755	0.4713460.127703	-0.737502	0.0224255	0.439016
0.325	0.0970966	-0.636382	0.0178322	0.4591360.114022	-0.681946	0.0191356	0.419561
0.335	0.0853374	-0.578014	0.0152802	0.4476390.101539	-0.62639	0.0162684	0.400546
0.345	0.0748363	-0.519438	0.013076	0.436820.090174	-0.570835	0.0137776	0.381973
0.355	0.0655145	-0.460869	0.0111813	0.4266720.0798503	-0.515279	0.0116211	0.36384
0.365	0.0572959	-0.402643	0.00956216	0.4172270.0704946	-0.459724	0.00976065	0.346148
0.375	0.050109	-0.345248	0.008189	0.4085590.0620372	-0.404168	0.00816155	0.328898
0.385	0.0438879	-0.289367	0.00703601	0.4007950.0544116	-0.348613	0.00679248	0.312088
0.395	0.0385708	-0.235893	0.00608051	0.3941130.0475551	-0.293057	0.00562518	0.295719
0.405	0.0340974	-0.185923	0.00530206	0.3887430.0414079	-0.237502	0.00463422	0.279791
0.415	0.0304048	-0.140687	0.00468146	0.3849280.0359135	-0.181946	0.00379683	0.264304
0.425	0.0274254	-0.10143	0.00419976	0.3828340.0310184	-0.12639	0.00309263	0.249257
